title,first_team,second_team
الدوري المصري,غزل المحلة,سموحة
كأس الأمم الأفريقية - 17 عاما,تونس,مالي
الدوري الإسباني,فالنسيا,اشبيلية
الدوري الفرنسي,لانس,ريمس
الدوري الألماني,فولفسبورج,لايبزيج
الدوري المصري الممتاز - سيدات,بيراميدز,مودرن سبورت
الدوري الإيطالي,أودينيزي,ميلان
الدوري السعودي,الاتفـــــاق,الهلال
دوري نجوم قطر,الدحيل,العربي
الدوري التركي,سامسون سبور,جالاتا سراي
الدوري البرتغالي,جل فيسنتي,فيتوريا جيماريش
الدوري المغربي,الشباب الرياضي السالمي,نهضة الزمامرة
الدوري الإماراتي,اتحاد كلباء,شباب الأهلي
